epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.043,1.00677,2.71874,1.15292,0.8728,0.07151,0.40874,0.25464,1.0817,3.1536,1.17019,0.00062,0.00062,0.00062
2,899.13,1.18896,2.34343,1.28547,0.56493,0.23264,0.2821,0.16376,1.33705,2.88133,1.40011,0.00113526,0.00113526,0.00113526
3,1250.97,1.22902,2.07414,1.30765,0.23056,0.26389,0.14639,0.06257,1.82619,2.88532,1.73629,0.0015238,0.0015238,0.0015238
4,1634.52,1.30372,1.94517,1.36161,0.44925,0.34375,0.33646,0.17433,1.55766,2.57154,1.59736,0.001406,0.001406,0.001406
5,2068.87,1.26181,1.78635,1.32266,0.55153,0.45691,0.47121,0.28618,1.36707,1.92967,1.45905,0.001208,0.001208,0.001208
6,2503.7,1.1951,1.57391,1.29892,0.53824,0.46545,0.46556,0.3132,1.29208,1.88707,1.34144,0.00101,0.00101,0.00101
7,2891.39,1.1323,1.40773,1.23903,0.70721,0.58333,0.62969,0.39466,1.19047,1.5029,1.27137,0.000812,0.000812,0.000812
8,3287.96,1.07919,1.30809,1.20878,0.71235,0.61111,0.6332,0.4427,1.09186,1.33409,1.22938,0.000614,0.000614,0.000614
9,3687.3,1.00267,1.18011,1.15839,0.79389,0.61458,0.69273,0.48317,1.08457,1.16006,1.192,0.000416,0.000416,0.000416
