epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.361,1.36993,1.31823,1.19108,0.63158,0.439,0.47662,0.27037,1.56996,1.51088,1.27092,0.00062,0.00062,0.00062
2,995.534,1.43147,1.4478,1.22553,0.50884,0.39833,0.39285,0.21627,1.68458,1.72992,1.37503,0.00113526,0.00113526,0.00113526
3,1364.86,1.45441,1.45911,1.25022,0.49908,0.34567,0.34951,0.19324,1.75064,1.85736,1.44009,0.0015238,0.0015238,0.0015238
4,2142.05,1.52427,1.50589,1.30975,0.45243,0.35558,0.33765,0.18527,1.71905,1.93732,1.38421,0.001406,0.001406,0.001406
