epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.631,1.03228,2.16803,1.15679,0.60639,0.44792,0.44661,0.30423,1.05279,2.50921,1.16652,0.000656085,0.000656085,0.000656085
2,721.528,1.11767,1.81939,1.1963,0.52513,0.53472,0.50336,0.34225,1.13012,2.167,1.23726,0.000886243,0.000886243,0.000886243
3,1089.35,1.08038,1.65084,1.16574,0.66403,0.56944,0.60241,0.39087,1.16935,1.68374,1.22512,0.000676402,0.000676402,0.000676402
